,STATE,NAME,MSASTATR,Percent,Year
0,1,Alaska,Combined,100,2006
1,2,Alabama,Urban,77.5862069,2006
2,2,Alabama,Rural,22.4137931,2006
3,3,Arkansas,Urban,50.7462687,2006
4,3,Arkansas,Rural,49.2537313,2006
5,4,Arizona,Urban,91.3043478,2006
6,4,Arizona,Rural,8.6956522,2006
7,5,California,Urban,92.0634921,2006
8,5,California,Rural,7.9365079,2006
9,6,Colorado,Urban,81.8181818,2006
10,6,Colorado,Rural,18.1818182,2006
11,7,Connecticut,Combined,100,2006
12,8,Washington DC,Urban,100,2006
13,9,Delaware,Combined,100,2006
14,10,Florida,Urban,97.8723404,2006
15,10,Florida,Rural,2.1276596,2006
16,11,Georgia,Urban,72.8571429,2006
17,11,Georgia,Rural,27.1428571,2006
18,12,Hawaii,Combined,100,2006
19,13,Iowa,Urban,54.5454545,2006
20,13,Iowa,Rural,45.4545455,2006
21,14,Idaho,Combined,100,2006
22,15,Illinois,Urban,88.75,2006
23,15,Illinois,Rural,11.25,2006
24,16,Indiana,Urban,83.3333333,2006
25,16,Indiana,Rural,16.6666667,2006
26,17,Kansas,Urban,72.7272727,2006
27,17,Kansas,Rural,27.2727273,2006
28,18,Kentucky,Urban,59.3220339,2006
29,18,Kentucky,Rural,40.6779661,2006
30,19,Louisiana,Urban,75.4385965,2006
31,19,Louisiana,Rural,24.5614035,2006
32,20,Massachusetts,Combined,100,2006
33,21,Maryland,Combined,100,2006
34,22,Maine,Combined,100,2006
35,23,Michigan,Urban,84.2857143,2006
36,23,Michigan,Rural,15.7142857,2006
37,24,Minnesota,Urban,83.3333333,2006
38,24,Minnesota,Rural,16.6666667,2006
39,25,Missouri,Urban,75,2006
40,25,Missouri,Rural,25,2006
41,26,Mississippi,Urban,48.6111111,2006
42,26,Mississippi,Rural,51.3888889,2006
43,27,Montana,Combined,100,2006
44,28,North Carolina,Urban,74.2857143,2006
45,28,North Carolina,Rural,25.7142857,2006
46,29,North Dakota,Combined,100,2006
47,30,Nebraska,Urban,57.1428571,2006
48,30,Nebraska,Rural,42.8571429,2006
49,31,New Hampshire,Combined,100,2006
50,32,New Jersey,Urban,100,2006
51,33,New Mexico,Urban,66.3265306,2006
52,33,New Mexico,Rural,33.6734694,2006
53,34,Nevada,Combined,100,2006
54,35,New York ,Urban,94.6666667,2006
55,35,New York ,Rural,5.3333333,2006
56,36,Ohio,Urban,81.8181818,2006
57,36,Ohio,Rural,18.1818182,2006
58,37,Oklahoma,Urban,69.3877551,2006
59,37,Oklahoma,Rural,30.6122449,2006
60,38,Oregon,Urban,76.2376238,2006
61,38,Oregon,Rural,23.7623762,2006
