,STATE,NAME,comorb,Proportion,Percent,Year
0,1,Alaska,1,0.071216617,7.121661721,2006
1,1,Alaska,2,0.104395604,10.43956044,2006
2,1,Alaska,3,0.100775194,10.07751938,2006
3,1,Alaska,4,0.12244898,12.24489796,2006
4,1,Alaska,5,0.214285714,21.42857143,2006
5,2,Alabama,1,0.057877814,5.78778135,2006
6,2,Alabama,2,0.052631579,5.263157895,2006
7,2,Alabama,3,0.086206897,8.620689655,2006
8,2,Alabama,4,0.12244898,12.24489796,2006
9,2,Alabama,5,0.196078431,19.60784314,2006
10,3,Arkansas,1,0.052816901,5.281690141,2006
11,3,Arkansas,2,0.050847458,5.084745763,2006
12,3,Arkansas,3,0.091549296,9.154929577,2006
13,3,Arkansas,4,0.2,20,2006
14,3,Arkansas,5,0.204081633,20.40816327,2006
15,4,Arizona,1,0.093425606,9.342560554,2006
16,4,Arizona,2,0.099616858,9.961685824,2006
17,4,Arizona,3,0.064285714,6.428571429,2006
18,4,Arizona,4,0.235294118,23.52941176,2006
19,4,Arizona,5,0.285714286,28.57142857,2006
20,5,California,1,0.1015625,10.15625,2006
21,5,California,2,0.098540146,9.854014599,2006
22,5,California,3,0.106508876,10.65088757,2006
23,5,California,4,0.25,25,2006
24,5,California,5,0.32,32,2006
25,6,Colorado,1,0.053731343,5.373134328,2006
26,6,Colorado,2,0.096774194,9.677419355,2006
27,6,Colorado,3,0.07518797,7.518796992,2006
28,6,Colorado,4,0.073170732,7.317073171,2006
29,6,Colorado,5,0.24137931,24.13793103,2006
30,7,Connecticut,1,0.079545455,7.954545455,2006
31,7,Connecticut,2,0.059649123,5.964912281,2006
32,7,Connecticut,3,0.091666667,9.166666667,2006
33,7,Connecticut,4,0.166666667,16.66666667,2006
34,7,Connecticut,5,0.205882353,20.58823529,2006
35,8,Washington DC,1,0.070769231,7.076923077,2006
36,8,Washington DC,2,0.086065574,8.606557377,2006
37,8,Washington DC,3,0.111888112,11.18881119,2006
38,8,Washington DC,4,0.155172414,15.51724138,2006
39,8,Washington DC,5,0.117647059,11.76470588,2006
40,9,Delaware,1,0.04,4,2006
41,9,Delaware,2,0.04,4,2006
42,9,Delaware,3,0.107692308,10.76923077,2006
43,9,Delaware,4,0.137254902,13.7254902,2006
44,9,Delaware,5,0.302325581,30.23255814,2006
45,10,Florida,1,0.071216617,7.121661721,2006
46,10,Florida,2,0.101382488,10.13824885,2006
47,10,Florida,3,0.089552239,8.955223881,2006
48,10,Florida,4,0.224137931,22.4137931,2006
49,10,Florida,5,0.232142857,23.21428571,2006
50,11,Georgia,1,0.041420118,4.142011834,2006
51,11,Georgia,2,0.074074074,7.407407407,2006
52,11,Georgia,3,0.099236641,9.923664122,2006
53,11,Georgia,4,0.204081633,20.40816327,2006
54,11,Georgia,5,0.21875,21.875,2006
55,12,Hawaii,1,0.042071197,4.207119741,2006
56,12,Hawaii,2,0.083333333,8.333333333,2006
57,12,Hawaii,3,0.112781955,11.27819549,2006
58,12,Hawaii,4,0.181818182,18.18181818,2006
59,12,Hawaii,5,0.333333333,33.33333333,2006
60,13,Iowa,1,0.035353535,3.535353535,2006
61,13,Iowa,2,0.041860465,4.186046512,2006
62,13,Iowa,3,0.056074766,5.607476636,2006
63,13,Iowa,4,0.086956522,8.695652174,2006
64,13,Iowa,5,0.151515152,15.15151515,2006
65,14,Idaho,1,0.047619048,4.761904762,2006
66,14,Idaho,2,0.063348416,6.334841629,2006
67,14,Idaho,3,0.139534884,13.95348837,2006
68,14,Idaho,4,0.183673469,18.36734694,2006
69,14,Idaho,5,0.173913043,17.39130435,2006
70,15,Illinois,1,0.067204301,6.720430108,2006
71,15,Illinois,2,0.073275862,7.327586207,2006
72,15,Illinois,3,0.078947368,7.894736842,2006
