,NAME,comorb,Proportion,Year
51,Alaska,1,0.077235772,2006
52,Alaska,2,0.104395604,2006
53,Alaska,3,0.100775194,2006
54,Alaska,4,0.12244898,2006
0,Alaska,5,0.166666667,2006
55,Alabama,1,0.037815126,2006
56,Alabama,2,0.052631579,2006
57,Alabama,3,0.086206897,2006
58,Alabama,4,0.12244898,2006
1,Alabama,5,0.16,2006
59,Arkansas,1,0.053811659,2006
60,Arkansas,2,0.050847458,2006
61,Arkansas,3,0.091549296,2006
62,Arkansas,4,0.2,2006
2,Arkansas,5,0.294117647,2006
63,Arizona,1,0.086757991,2006
64,Arizona,2,0.099616858,2006
65,Arizona,3,0.064285714,2006
66,Arizona,4,0.235294118,2006
3,Arizona,5,0.272727273,2006
67,California,1,0.107142857,2006
68,California,2,0.098540146,2006
69,California,3,0.106508876,2006
70,California,4,0.25,2006
4,California,5,0.238095238,2006
71,Colorado,1,0.046025105,2006
72,Colorado,2,0.096774194,2006
73,Colorado,3,0.07518797,2006
74,Colorado,4,0.073170732,2006
5,Colorado,5,0.285714286,2006
75,Connecticut,1,0.082397004,2006
76,Connecticut,2,0.059649123,2006
77,Connecticut,3,0.091666667,2006
78,Connecticut,4,0.166666667,2006
6,Connecticut,5,0.25,2006
79,Washington DC,1,0.054393305,2006
80,Washington DC,2,0.086065574,2006
81,Washington DC,3,0.111888112,2006
82,Washington DC,4,0.155172414,2006
7,Washington DC,5,0.1,2006
83,Delaware,1,0.040983607,2006
84,Delaware,2,0.04,2006
85,Delaware,3,0.107692308,2006
86,Delaware,4,0.137254902,2006
8,Delaware,5,0.333333333,2006
87,Florida,1,0.078431373,2006
88,Florida,2,0.101382488,2006
89,Florida,3,0.089552239,2006
90,Florida,4,0.224137931,2006
9,Florida,5,0.333333333,2006
91,Georgia,1,0.039426523,2006
92,Georgia,2,0.074074074,2006
93,Georgia,3,0.099236641,2006
94,Georgia,4,0.204081633,2006
10,Georgia,5,0.5,2006
95,Hawaii,1,0.032258065,2006
96,Hawaii,2,0.083333333,2006
97,Hawaii,3,0.112781955,2006
98,Hawaii,4,0.181818182,2006
11,Hawaii,5,0.333333333,2006
99,Iowa,1,0.045016077,2006
100,Iowa,2,0.041860465,2006
101,Iowa,3,0.056074766,2006
102,Iowa,4,0.086956522,2006
12,Iowa,5,0.166666667,2006
103,Idaho,1,0.059760956,2006
104,Idaho,2,0.063348416,2006
105,Idaho,3,0.139534884,2006
106,Idaho,4,0.183673469,2006
13,Idaho,5,0.25,2006
107,Illinois,1,0.05033557,2006
108,Illinois,2,0.073275862,2006
109,Illinois,3,0.078947368,2006
110,Illinois,4,0.206896552,2006
14,Illinois,5,0.222222222,2006
111,Indiana,1,0.073529412,2006
112,Indiana,2,0.085271318,2006
113,Indiana,3,0.097402597,2006
114,Indiana,4,0.150943396,2006
15,Indiana,5,5,2006
115,Kansas,1,0.028225806,2006
116,Kansas,2,0.05,2006
117,Kansas,3,0.068181818,2006
118,Kansas,4,0.103448276,2006
16,Kansas,5,0.222222222,2006
119,Kentucky,1,0.032128514,2006
120,Kentucky,2,0.049056604,2006
121,Kentucky,3,0.061946903,2006
122,Kentucky,4,0.123076923,2006
17,Kentucky,5,0.19047619,2006
123,Louisiana,1,0.055555556,2006
124,Louisiana,2,0.07486631,2006
125,Louisiana,3,0.076271186,2006
126,Louisiana,4,0.104166667,2006
18,Louisiana,5,0.222222222,2006
127,Massachusetts,1,0.050980392,2006
128,Massachusetts,2,0.071748879,2006
129,Massachusetts,3,0.079710145,2006
130,Massachusetts,4,0.133333333,2006
19,Massachusetts,5,0.133333333,2006
131,Maryland,1,0.043956044,2006
132,Maryland,2,0.090909091,2006
133,Maryland,3,0.090225564,2006
134,Maryland,4,0.127272727,2006
20,Maryland,5,0.384615385,2006
135,Maine,1,0.049382716,2006
136,Maine,2,0.035433071,2006
137,Maine,3,0.1,2006
138,Maine,4,0.103448276,2006
21,Maine,5,0.090909091,2006
139,Michigan,1,0.0390625,2006
140,Michigan,2,0.050420168,2006
141,Michigan,3,0.105633803,2006
142,Michigan,4,0.147058824,2006
22,Michigan,5,0.210526316,2006
143,Minnesota,1,0.030405405,2006
144,Minnesota,2,0.060606061,2006
145,Minnesota,3,0.113402062,2006
146,Minnesota,4,0.1,2006
23,Minnesota,5,0.230769231,2006
147,Missouri,1,0.046357616,2006
148,Missouri,2,0.063241107,2006
149,Missouri,3,0.130081301,2006
150,Missouri,4,0.12,2006
24,Missouri,5,0.230769231,2006
151,Mississippi,1,0.056603774,2006
152,Mississippi,2,0.077981651,2006
153,Mississippi,3,0.101010101,2006
154,Mississippi,4,0.107692308,2006
25,Mississippi,5,0.1,2006
155,Montana,1,0.072874494,2006
156,Montana,2,0.080769231,2006
157,Montana,3,0.114035088,2006
158,Montana,4,0.127272727,2006
26,Montana,5,0.578947368,2006
159,North Carolina,1,0.060836502,2006
160,North Carolina,2,0.044176707,2006
161,North Carolina,3,0.141414141,2006
162,North Carolina,4,0.058823529,2006
27,North Carolina,5,0.285714286,2006
163,North Dakota,1,0.052459016,2006
164,North Dakota,2,0.037383178,2006
165,North Dakota,3,0.090909091,2006
166,North Dakota,4,0.155555556,2006
28,North Dakota,5,0.083333333,2006
167,Nebraska,1,0.018656716,2006
168,Nebraska,2,0.068548387,2006
169,Nebraska,3,0.104347826,2006
170,Nebraska,4,0.095238095,2006
29,Nebraska,5,0.25,2006
171,New Hampshire,1,0.05862069,2006
172,New Hampshire,2,0.057692308,2006
173,New Hampshire,3,0.076271186,2006
174,New Hampshire,4,0.130434783,2006
30,New Hampshire,5,5,2006
175,New Jersey,1,0.080321285,2006
176,New Jersey,2,0.086614173,2006
177,New Jersey,3,0.090277778,2006
178,New Jersey,4,0.145454545,2006
31,New Jersey,5,0.25,2006
179,New Mexico,1,0.060085837,2006
180,New Mexico,2,0.068965517,2006
181,New Mexico,3,0.134146341,2006
182,New Mexico,4,0.175438596,2006
32,New Mexico,5,0.407407407,2006
183,Nevada,1,0.104545455,2006
184,Nevada,2,0.119148936,2006
185,Nevada,3,0.165289256,2006
186,Nevada,4,0.26,2006
33,Nevada,5,0.363636364,2006
187,New York ,1,0.038732394,2006
188,New York ,2,0.096069869,2006
189,New York ,3,0.085106383,2006
190,New York ,4,0.151515152,2006
34,New York ,5,0.166666667,2006
191,Ohio,1,0.045977011,2006
192,Ohio,2,0.054852321,2006
193,Ohio,3,0.065359477,2006
194,Ohio,4,0.113207547,2006
35,Ohio,5,0.230769231,2006
195,Oklahoma,1,0.080717489,2006
196,Oklahoma,2,0.083969466,2006
197,Oklahoma,3,0.145695364,2006
198,Oklahoma,4,0.179104478,2006
36,Oklahoma,5,0.227272727,2006
199,Oregon,1,0.075,2006
200,Oregon,2,0.078341014,2006
201,Oregon,3,0.158333333,2006
202,Oregon,4,0.25,2006
37,Oregon,5,0.473684211,2006
203,Pennsylvania,1,0.041841004,2006
204,Pennsylvania,2,0.078498294,2006
205,Pennsylvania,3,0.12345679,2006
206,Pennsylvania,4,0.083333333,2006
38,Pennsylvania,5,0.285714286,2006
207,Rhode Island,1,0.0562249,2006
208,Rhode Island,2,0.059440559,2006
209,Rhode Island,3,0.076923077,2006
210,Rhode Island,4,0.140625,2006
39,Rhode Island,5,0.25,2006
211,South Carolina,1,0.041198502,2006
212,South Carolina,2,0.063291139,2006
213,South Carolina,3,0.054054054,2006
214,South Carolina,4,0.158730159,2006
40,South Carolina,5,0.238095238,2006
215,South Dakota,1,0.054151625,2006
216,South Dakota,2,0.056910569,2006
217,South Dakota,3,0.113043478,2006
218,South Dakota,4,0.088888889,2006
41,South Dakota,5,0.333333333,2006
219,Tennessee,1,0.037313433,2006
220,Tennessee,2,0.063291139,2006
221,Tennessee,3,0.100775194,2006
222,Tennessee,4,0.130434783,2006
42,Tennessee,5,0.225806452,2006
223,Texas,1,0.048689139,2006
224,Texas,2,0.036,2006
225,Texas,3,0.165413534,2006
226,Texas,4,0.202898551,2006
43,Texas,5,0.35,2006
227,Utah,1,0.065306122,2006
228,Utah,2,0.099137931,2006
229,Utah,3,0.097560976,2006
230,Utah,4,0.235294118,2006
44,Utah,5,0.416666667,2006
231,Virginia,1,0.060377358,2006
232,Virginia,2,0.061728395,2006
233,Virginia,3,0.089285714,2006
234,Virginia,4,0.125,2006
45,Virginia,5,0.19047619,2006
235,Vermont,1,0.027131783,2006
236,Vermont,2,0.061611374,2006
237,Vermont,3,0.080645161,2006
238,Vermont,4,0.195652174,2006
46,Vermont,5,0.105263158,2006
239,Washington,1,0.079545455,2006
240,Washington,2,0.072033898,2006
241,Washington,3,0.136054422,2006
242,Washington,4,0.192307692,2006
47,Washington,5,0.176470588,2006
243,Wisconsin,1,0.043918919,2006
244,Wisconsin,2,0.07063197,2006
245,Wisconsin,3,0.111111111,2006
246,Wisconsin,4,0.108695652,2006
48,Wisconsin,5,0.363636364,2006
247,West Virginia,1,0.024271845,2006
248,West Virginia,2,0.060483871,2006
249,West Virginia,3,0.095238095,2006
250,West Virginia,4,0.183098592,2006
49,West Virginia,5,0.347826087,2006
251,Wyoming,1,0.042654028,2006
252,Wyoming,2,0.043668122,2006
253,Wyoming,3,0.128378378,2006
254,Wyoming,4,0.161764706,2006
50,Wyoming,5,0.166666667,2006
,,,,
,,,,
,,,,
,,,5,
