NAME,Percent,Year
Alaska,10.2841678,2006
Alabama,7.6821192,2006
Arkansas,8.6340206,2006
Arizona,11.7496807,2006
California,13.3333333,2006
Colorado,8.3969466,2006
Connecticut,9.2436975,2006
Washington DC,9.9878197,2006
Delaware,8.811749,2006
Florida,11.7206983,2006
Georgia,8.8272383,2006
Hawaii,10.4084321,2006
Iowa,5.5207026,2006
Idaho,9.603073,2006
Illinois,9.9502488,2006
Indiana,9.3637455,2006
Kansas,6.9008783,2006
Kentucky,7.2929543,2006
Louisiana,8.7557604,2006
Massachusetts,8.4810127,2006
Maryland,9.9747475,2006
Maine,6.6084788,2006
Michigan,8.5470085,2006
Minnesota,7.8328982,2006
Missouri,8.8372093,2006
Mississippi,9.4488189,2006
Montana,11.209068,2006
North Carolina,9.0909091,2006
North Dakota,7.7225131,2006
Nebraska,7.253886,2006
New Hampshire,8.131068,2006
New Jersey,11.2484549,2006
New Mexico,11.4219114,2006
Nevada,15.5792277,2006
New York ,8.813161,2006
Ohio,6.6991474,2006
Oklahoma,12.2194514,2006
Oregon,13.2026144,2006
Pennsylvania,9.3858633,2006
Rhode Island,7.7647059,2006
South Carolina,7.656066,2006
South Dakota,7.721519,2006
Tennessee,8.186398,2006
Texas,11.0059172,2006
Utah,11.4775726,2006
Virginia,9.7345133,2006
Vermont,7.9118029,2006
Washington,11.8644068,2006
Wisconsin,8.2833133,2006
West Virginia,9.1719745,2006
Wyoming,9.3231162,2006
Alaska,20.38709677,2010
Alabama,13.1377551,2010
Arkansas,20.12738854,2010
Arizona,22.6869455,2010
California,22.47873633,2010
Colorado,24.19146184,2010
Connecticut,15.43367347,2010
Washington DC,15.71238349,2010
Delaware,11.26760563,2010
Florida,24.88425926,2010
Georgia,17.13586291,2010
Hawaii,14.41213654,2010
Iowa,10.65162907,2010
Idaho,19.84536082,2010
Illinois,18.28499369,2010
Indiana,17.63191763,2010
Kansas,14.35832274,2010
Kentucky,14.43037975,2010
Louisiana,16.27906977,2010
Massachusetts,14.84771574,2010
Maryland,15.92039801,2010
Maine,13.04909561,2010
Michigan,16.772554,2010
Minnesota,12.88659794,2010
Missouri,17.55050505,2010
Mississippi,20.73011734,2010
Montana,21.97943445,2010
North Carolina,17.05809642,2010
North Dakota,11.91969887,2010
Nebraska,14.69072165,2010
New Hampshire,12.94117647,2010
New Jersey,20.67183463,2010
New Mexico,21.81588903,2010
Nevada,26.1997406,2010
New York ,18.30143541,2010
Ohio,14.65517241,2010
Oklahoma,18.60465116,2010
Oregon,23.47600519,2010
Pennsylvania,13.00505051,2010
Rhode Island,14.49086162,2010
South Carolina,16.34980989,2010
South Dakota,16.18798956,2010
Tennessee,14.92178099,2010
Texas,19.70387244,2010
Utah,22.42268041,2010
Virginia,14.7826087,2010
Vermont,11.76470588,2010
Washington,18.22849807,2010
Wisconsin,16.62404092,2010
West Virginia,16.51728553,2010
Wyoming,17.65463918,2010
