STATE,ASTHMA,ATTENTION DEFICIT DISORDER,AUTISM,DOWN SYNDROME,MENTAL RETARDATION,EMOTIONAL PROBLEMS,DIABETES,CHILD USES INSULIN,HEART PROBLEM,BLOOD PROBLEMS,CYSTIC FIBROSIS,CEREBRAL PALSY,MUSCULAR DYSTROPHY,SEIZURE DISORDER,MIGRAINE OR FREQUENT HEADACHES,JOINT PROBLEMS,ALLERGIES,FOOD ALLERGIES,Year
Alaska,234,212,41,8,101,183,20,17,21,18,,9,3,30,96,37,302,105,2006
Alabama,289,244,30,8,67,134,10,5,20,17,2,19,1,33,134,32,414,76,2006
Arkansas,252,273,40,10,98,184,7,5,20,16,1,13,2,32,131,42,443,82,2006
Arizona,320,202,39,6,87,176,10,8,31,15,1,15,6,31,129,33,421,85,2006
California,410,229,56,8,97,204,15,12,37,24,2,22,4,24,133,41,456,109,2006
Colorado,287,159,30,6,67,157,21,20,26,7,,12,,29,96,22,409,114,2006
Connecticut,364,179,34,5,65,148,11,10,19,13,2,12,1,38,94,36,430,98,2006
Washington DC,351,211,36,9,116,155,10,6,20,39,3,24,7,28,102,34,426,111,2006
Delaware,274,291,37,5,79,147,13,9,22,17,1,11,1,31,88,34,394,78,2006
Florida,292,255,48,7,102,182,17,14,27,14,3,13,6,32,128,35,382,77,2006
Georgia,287,244,40,3,68,147,14,13,24,14,1,17,2,24,81,30,436,87,2006
Hawaii,386,179,32,4,67,124,7,5,26,16,,21,2,19,81,29,386,102,2006
Iowa,240,239,48,8,69,153,15,13,40,10,1,12,3,24,104,24,376,48,2006
Idaho,241,213,43,13,109,202,19,16,26,6,1,16,4,30,101,41,381,76,2006
Illinois,301,223,50,13,91,133,10,10,25,13,3,12,1,33,87,34,373,77,2006
Indiana,313,249,44,6,81,176,21,19,30,12,3,11,4,27,125,34,410,101,2006
Kansas,319,223,38,7,81,148,14,9,25,8,2,9,2,27,98,23,475,87,2006
Kentucky,287,235,25,6,85,167,24,15,43,19,2,13,3,37,149,34,500,94,2006
Louisiana,209,252,26,3,62,132,8,5,27,29,1,9,3,25,126,23,347,64,2006
Massachusetts,301,232,60,5,84,177,9,7,30,17,1,9,2,43,92,22,349,85,2006
Maryland,294,261,55,4,71,160,16,12,20,16,3,13,2,19,108,19,395,86,2006
